MNC;Operatorname;MCC;Country
240;T-Mobile USA (formerVoicestream);316;United States
240;T-Mobile USA (formerVoicestream);332;United States
240;T-Mobile USA (formerVoicestream);330;United States
240;T-Mobile USA (formerVoicestream);313;United States
240;T-Mobile USA (formerVoicestream);314;United States
240;T-Mobile USA (formerVoicestream);315;United States
240;T-Mobile USA (formerVoicestream);310;United States
240;T-Mobile USA (formerVoicestream);311;United States
240;T-Mobile USA (formerVoicestream);312;United States
250;T-Mobile USA (formerVoicestream);534;United States
250;T-Mobile USA (formerVoicestream);535;United States
250;T-Mobile USA (formerVoicestream);316;United States
250;T-Mobile USA (formerVoicestream);332;United States
250;T-Mobile USA (formerVoicestream);330;United States
250;T-Mobile USA (formerVoicestream);313;United States
250;T-Mobile USA (formerVoicestream);314;United States
250;T-Mobile USA (formerVoicestream);315;United States
250;T-Mobile USA (formerVoicestream);310;United States
250;T-Mobile USA (formerVoicestream);311;United States
250;T-Mobile USA (formerVoicestream);312;United States
260;T-Mobile USA (formerVoicestream);534;United States
260;T-Mobile USA (formerVoicestream);535;United States
260;T-Mobile USA (formerVoicestream);316;United States
260;T-Mobile USA (formerVoicestream);332;United States
260;T-Mobile USA (formerVoicestream);330;United States
260;T-Mobile USA (formerVoicestream);313;United States
260;T-Mobile USA (formerVoicestream);314;United States
260;T-Mobile USA (formerVoicestream);315;United States
260;T-Mobile USA (formerVoicestream);310;United States
260;T-Mobile USA (formerVoicestream);311;United States
260;T-Mobile USA (formerVoicestream);312;United States
270;T-Mobile USA (formerVoicestream);534;United States
270;T-Mobile USA (formerVoicestream);535;United States
270;T-Mobile USA (formerVoicestream);316;United States
270;T-Mobile USA (formerVoicestream);332;United States
270;T-Mobile USA (formerVoicestream);330;United States
270;T-Mobile USA (formerVoicestream);313;United States
270;T-Mobile USA (formerVoicestream);314;United States
270;T-Mobile USA (formerVoicestream);315;United States
270;T-Mobile USA (formerVoicestream);310;United States
270;T-Mobile USA (formerVoicestream);311;United States
270;T-Mobile USA (formerVoicestream);312;United States
160;T-Mobile USA (formerVoicestream);534;United States
160;T-Mobile USA (formerVoicestream);535;United States
160;T-Mobile USA (formerVoicestream);316;United States
160;T-Mobile USA (formerVoicestream);332;United States
160;T-Mobile USA (formerVoicestream);330;United States
160;T-Mobile USA (formerVoicestream);313;United States
160;T-Mobile USA (formerVoicestream);314;United States
160;T-Mobile USA (formerVoicestream);315;United States
160;T-Mobile USA (formerVoicestream);310;United States
160;T-Mobile USA (formerVoicestream);311;United States
160;T-Mobile USA (formerVoicestream);312;United States
200;T-Mobile USA (formerVoicestream);534;United States
200;T-Mobile USA (formerVoicestream);535;United States
200;T-Mobile USA (formerVoicestream);316;United States
200;T-Mobile USA (formerVoicestream);332;United States
200;T-Mobile USA (formerVoicestream);330;United States
200;T-Mobile USA (formerVoicestream);313;United States
200;T-Mobile USA (formerVoicestream);314;United States
200;T-Mobile USA (formerVoicestream);315;United States
200;T-Mobile USA (formerVoicestream);310;United States
200;T-Mobile USA (formerVoicestream);311;United States
200;T-Mobile USA (formerVoicestream);312;United States
660;T-Mobile USA (formerVoicestream);534;United States
660;T-Mobile USA (formerVoicestream);535;United States
660;T-Mobile USA (formerVoicestream);316;United States
660;T-Mobile USA (formerVoicestream);332;United States
660;T-Mobile USA (formerVoicestream);330;United States
660;T-Mobile USA (formerVoicestream);313;United States
660;T-Mobile USA (formerVoicestream);314;United States
660;T-Mobile USA (formerVoicestream);315;United States
660;T-Mobile USA (formerVoicestream);310;United States
660;T-Mobile USA (formerVoicestream);311;United States
660;T-Mobile USA (formerVoicestream);312;United States
460;TMP Corporation;534;United States
460;TMP Corporation;535;United States
460;TMP Corporation;316;United States
460;TMP Corporation;332;United States
460;TMP Corporation;330;United States
460;TMP Corporation;313;United States
460;TMP Corporation;314;United States
460;TMP Corporation;315;United States
460;TMP Corporation;310;United States
460;TMP Corporation;311;United States
460;TMP Corporation;312;United States
490;Triton PCS;534;United States
490;Triton PCS;535;United States
490;Triton PCS;316;United States
490;Triton PCS;332;United States
490;Triton PCS;330;United States
490;Triton PCS;313;United States
490;Triton PCS;314;United States
490;Triton PCS;315;United States
490;Triton PCS;310;United States
490;Triton PCS;311;United States
490;Triton PCS;312;United States
20;Union Telephone Company;534;United States
20;Union Telephone Company;535;United States
20;Union Telephone Company;316;United States
20;Union Telephone Company;332;United States
20;Union Telephone Company;330;United States
20;Union Telephone Company;313;United States
20;Union Telephone Company;314;United States
20;Union Telephone Company;315;United States
20;Union Telephone Company;310;United States
20;Union Telephone Company;311;United States
20;Union Telephone Company;312;United States
0;Unknown Network;534;United States
0;Unknown Network;535;United States
0;Unknown Network;316;United States
0;Unknown Network;332;United States
0;Unknown Network;330;United States
0;Unknown Network;313;United States
0;Unknown Network;314;United States
0;Unknown Network;315;United States
0;Unknown Network;310;United States
0;Unknown Network;311;United States
0;Unknown Network;312;United States
38;USA 3650 AT&T;534;United States
38;USA 3650 AT&T;535;United States
38;USA 3650 AT&T;316;United States
38;USA 3650 AT&T;332;United States
38;USA 3650 AT&T;330;United States
38;USA 3650 AT&T;313;United States
38;USA 3650 AT&T;314;United States
38;USA 3650 AT&T;315;United States
38;USA 3650 AT&T;310;United States
38;USA 3650 AT&T;311;United States
38;USA 3650 AT&T;312;United States
520;VeriSign;534;United States
520;VeriSign;535;United States
520;VeriSign;316;United States
520;VeriSign;332;United States
520;VeriSign;330;United States
520;VeriSign;313;United States
520;VeriSign;314;United States
520;VeriSign;315;United States
520;VeriSign;310;United States
520;VeriSign;311;United States
520;VeriSign;312;United States
3;Verizon;534;United States
3;Verizon;535;United States
3;Verizon;316;United States
3;Verizon;332;United States
3;Verizon;330;United States
3;Verizon;313;United States
3;Verizon;314;United States
3;Verizon;315;United States
3;Verizon;310;United States
3;Verizon;311;United States
3;Verizon;312;United States
12;Verizon Wireless;534;United States
12;Verizon Wireless;535;United States
12;Verizon Wireless;316;United States
12;Verizon Wireless;332;United States
12;Verizon Wireless;330;United States
12;Verizon Wireless;313;United States
12;Verizon Wireless;314;United States
12;Verizon Wireless;315;United States
12;Verizon Wireless;310;United States
12;Verizon Wireless;311;United States
12;Verizon Wireless;312;United States
23;VoiceStream 23;534;United States
23;VoiceStream 23;535;United States
23;VoiceStream 23;316;United States
23;VoiceStream 23;332;United States
23;VoiceStream 23;330;United States
23;VoiceStream 23;313;United States
23;VoiceStream 23;314;United States
23;VoiceStream 23;315;United States
23;VoiceStream 23;310;United States
23;VoiceStream 23;311;United States
23;VoiceStream 23;312;United States
24;VoiceStream 24;534;United States
24;VoiceStream 24;535;United States
24;VoiceStream 24;316;United States
24;VoiceStream 24;332;United States
24;VoiceStream 24;330;United States
24;VoiceStream 24;313;United States
24;VoiceStream 24;314;United States
24;VoiceStream 24;315;United States
24;VoiceStream 24;310;United States
24;VoiceStream 24;311;United States
24;VoiceStream 24;312;United States
25;VoiceStream 25;534;United States
25;VoiceStream 25;535;United States
25;VoiceStream 25;316;United States
25;VoiceStream 25;332;United States
25;VoiceStream 25;330;United States
25;VoiceStream 25;313;United States
25;VoiceStream 25;314;United States
25;VoiceStream 25;315;United States
25;VoiceStream 25;310;United States
25;VoiceStream 25;311;United States
25;VoiceStream 25;312;United States
530;West Virginia Wireless;534;United States
530;West Virginia Wireless;535;United States
530;West Virginia Wireless;316;United States
530;West Virginia Wireless;332;United States
530;West Virginia Wireless;330;United States
530;West Virginia Wireless;313;United States
530;West Virginia Wireless;314;United States
530;West Virginia Wireless;315;United States
530;West Virginia Wireless;310;United States
530;West Virginia Wireless;311;United States
530;West Virginia Wireless;312;United States
590;Western Wireless Corporation;534;United States
590;Western Wireless Corporation;535;United States
590;Western Wireless Corporation;316;United States
590;Western Wireless Corporation;332;United States
590;Western Wireless Corporation;330;United States
590;Western Wireless Corporation;313;United States
590;Western Wireless Corporation;314;United States
590;Western Wireless Corporation;315;United States
590;Western Wireless Corporation;310;United States
590;Western Wireless Corporation;311;United States
590;Western Wireless Corporation;312;United States
26;Western Wireless Voicestream;534;United States
26;Western Wireless Voicestream;535;United States
26;Western Wireless Voicestream;316;United States
26;Western Wireless Voicestream;332;United States
26;Western Wireless Voicestream;330;United States
26;Western Wireless Voicestream;313;United States
26;Western Wireless Voicestream;314;United States
26;Western Wireless Voicestream;315;United States
26;Western Wireless Voicestream;310;United States
26;Western Wireless Voicestream;311;United States
26;Western Wireless Voicestream;312;United States
390;Yorkville Telephone Cooperative;534;United States
390;Yorkville Telephone Cooperative;535;United States
390;Yorkville Telephone Cooperative;316;United States
390;Yorkville Telephone Cooperative;332;United States
390;Yorkville Telephone Cooperative;330;United States
390;Yorkville Telephone Cooperative;313;United States
390;Yorkville Telephone Cooperative;314;United States
390;Yorkville Telephone Cooperative;315;United States
390;Yorkville Telephone Cooperative;310;United States
390;Yorkville Telephone Cooperative;311;United States
390;Yorkville Telephone Cooperative;312;United States
10;AM Wireless Uruguay S.A.;748;Uruguay
7;MOVISTAR;748;Uruguay
350;Cable & Wireless West Indies Ltd (Turks & Caicos);376;US Virgin Islands
1;Buztel;434;Uzbekistan
5;Coscom;434;Uzbekistan
4;Daewoo Unitel;434;Uzbekistan
7;Uzdunrobita;434;Uzbekistan
2;Uzmacom;434;Uzbekistan
1;SMILE;541;Vanuatu
2;CorporaciÇün Digitel;734;Venezuela
3;Digicel;734;Venezuela
1;Infonet;734;Venezuela
4;Movistar;734;Venezuela
1;Mobifone;452;Vietnam
4;Vietel Corporation (Viettel Mobile);452;Vietnam
2;Vinaphone;452;Vietnam
2;Spacetel Yemen;421;Yemen
1;Yemen Mobile Phone Company;421;Yemen
1;Celtel Zambia Ltd.;645;Zambia
2;Telecel Zambia Ltd.;645;Zambia
3;Zamtel MTS;645;Zambia
4;Econet;648;Zimbabwe
1;Net One;648;Zimbabwe
3;Telecel;648;Zimbabwe
